"Kingdom" "Phyllum" "Class" "Order" "Family" "Genus" "Species"
"695" 100 100 100 85 28 15 5
"696" 100 100 100 99 63 61 23
"697" 100 100 100 98 98 96 73
"698" 100 100 100 91 86 59 30
"699" 100 100 100 97 90 90 28
"700" 100 100 100 98 76 76 68
"701" 100 100 100 95 76 73 25
"702" 100 100 100 85 10 10 8
"703" 100 100 100 72 72 27 8
"704" 100 100 100 69 19 19 13
"705" 100 100 100 100 99 99 84
"706" 100 100 100 94 36 30 7
"707" 100 100 100 98 96 96 52
"708" 100 100 100 90 33 28 20
"709" 100 100 100 100 100 100 100
"710" 100 100 100 100 97 95 84
"711" 100 100 100 89 19 8 8
"712" 100 100 100 99 76 76 67
"713" 100 100 100 100 100 100 36
"714" 100 100 100 100 100 100 100
"715" 100 100 100 97 69 66 30
"716" 100 100 100 94 65 57 20
"717" 100 100 100 98 92 92 89
"718" 100 100 100 91 90 20 16
"719" 100 100 100 100 99 97 34
"720" 100 100 100 100 100 100 100
"721" 100 100 100 83 83 47 36
"722" 100 100 100 88 30 29 12
"723" 100 100 100 97 85 85 74
"724" 100 100 100 91 72 50 34
"725" 100 100 100 80 11 9 8
"726" 100 100 100 92 32 28 14
"727" 100 100 100 97 54 32 16
"728" 100 100 100 99 86 86 65
"729" 100 100 100 92 76 75 10
"730" 100 100 100 100 100 69 37
"731" 100 100 100 98 83 83 34
"732" 100 100 100 94 42 14 13
"733" 100 100 100 100 100 100 100
"734" 100 100 100 100 100 79 62
"735" 100 100 100 97 77 77 30
"736" 100 100 100 100 100 85 36
"737" 100 100 100 92 29 13 8
"738" 100 100 100 96 85 85 81
"739" 100 100 100 96 91 88 27
"740" 100 100 100 99 94 94 74
"741" 100 100 100 100 80 80 78
"742" 100 100 100 92 27 27 24
"743" 100 100 100 96 61 59 19
"744" 100 100 100 99 36 36 33
"745" 100 100 100 96 92 42 42
"746" 100 100 100 97 97 81 43
"747" 100 100 100 74 36 36 30
"748" 100 100 100 99 86 86 75
"749" 100 100 100 100 100 100 100
"750" 100 100 100 100 84 83 27
"751" 100 100 100 100 100 100 100
"752" 100 100 100 95 78 46 19
"753" 100 100 100 100 80 68 43
"754" 100 100 100 100 100 99 74
"755" 100 100 100 97 76 76 58
"756" 100 100 100 98 87 86 29
"757" 100 100 100 86 47 45 27
"758" 100 100 100 94 41 34 13
"759" 100 100 100 92 78 78 71
"760" 100 100 100 91 91 63 36
"761" 100 100 100 92 40 29 29
